skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Arctic Blast	230	dru	arctic blast	11	19												arcticblast1								ln12/4-2																																																													arctic_blast_cast	druid_windcast				15	24					arcticblast1	arcticblast2											1	0		none												SQ	SQ	xx	18	10																							(skill('Arctic Blast'.blvl) < 100) ? (skill('Arctic Blast'.blvl)/50+1) : ((skill('Arctic Blast'.blvl)-50)/25+1)	25	250													1	1				6	0	4	8	1	1										ln12	range	20	frames if monster					15	base ranged	1	level range	4	Min Mana to start casting									50	damage synergy	1								4															cold	10	5	10	15	20	25	15	5	10	15	20	25	(skill('Cyclone Armor'.blvl) + skill('Hurricane'.blvl)) * par8 / 250	100	15	30	45				96	375
Cycle of Life	231	dru	cycle of life		115																	vine_beast																																						cycleoflife	vine	1	S1	Vine Attack	lvl	CorpseCycler	lvl										druid_summon																																1	0		none												SC	SC	xx				1	4																				(skill('Cycle of Life'.blvl) < 100) ? (skill('Cycle of Life'.blvl)/50+1) : ((skill('Cycle of Life'.blvl)-50)/25+1)	60	250					Plague Poppy			1											1	8	10	0	1	1									par3 * (lvl-1)	hp %	30 + lvl * 17 / 20	vine lvl					10	Radius	0	Life steal moved -->	20	% more hitpoints per level	0	?	3	min % life steal	12	max % life steal					1								8																																				128	1000
Feral Rage	232	dru	feral rage	56	120																	feralrage		par1		velocitypercent	dm34	lifedrainmindam	par2 * lvl	lifedrainmaxdam	par2 * lvl																																																																														1	0		h2h												A1	A1	xx				1		1	1								1										(skill('Feral Rage'.blvl) < 100) ? (skill('Feral Rage'.blvl)/50+1) : ((skill('Feral Rage'.blvl)-50)/25+1)	50	250					Wearwolf			2	wolf				1						1	8	3	0	1										ln56	dmg%	lvl/par7 + par8						500	duration	4	% life steal per hit	10	Min Speed boost	80	Max Speed boost	50	% damage increase	5	% damage increase per level	5	Levels per charge	3	Min charge	1	20	10						8	128																																			128	1000
Maul	233	dru	maul	56	120																	maul		par4		damagepercent	lvl*par3	stunlength	"min(par6, par5 + lvl)"																																																																																1	0		h2h												A1	A1	xx				1		1	1								1										(skill('Maul'.blvl) < 100) ? (skill('Maul'.blvl)/50+1) : ((skill('Maul'.blvl)-50)/25+1)	60	250					Wearbear			2	bear				1						1	8	3	0	1										0	dmg%	lvl/par7 + par8										60	damage per charge	1000	duration	10	min stun duration	200	max stun duration	5	Levels per charge	3	Min charge	1	50	20						8	128																																			128	1000
Eruption	234	dru	eruption		28												erruption center																																																												druid_firecast_a											druid_fire_cast_2				28					erruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2	(skill('Eruption'.blvl) < 100) ? (skill('Eruption'.blvl)/50+1) : ((skill('Eruption'.blvl)-50)/25+1)	55	250					Molten Boulder							25							1	8	15	0	1										par1	radius	par2	frequency					8	radius	6	Missile delay	0	Change duration in Missiles.xls									50	damage synergy	1								8		8	8	16	24	32	40	16	8	16	24	32	40	stat(0.accr) / 4	fire	20	20	40	60	80	100	40	20	40	60	80	100	(skill('Firestorm'.blvl) + skill('Volcano'.blvl)) * par8 / 250								128	1000
Cyclone Armor	235	dru	cyclone armor		18																	cyclonearmor				bonearmor	"min(stat(9.accr) / 256, ln12 + (skill('Twister'.blvl) + skill('Tornado'.blvl) + skill('Hurricane'.blvl)) * par8) * 256"	bonearmormax	"min(stat(9.accr) / 256, ln12 + (skill('Twister'.blvl) + skill('Tornado'.blvl) + skill('Hurricane'.blvl)) * par8) * 256"									absorbdamage	25																																						druid_cyclonearmor																																1	0		none												SC	SC	xx				1																					(skill('Cyclone Armor'.blvl) < 100) ? (skill('Cyclone Armor'.blvl)/50+1) : ((skill('Cyclone Armor'.blvl)-50)/25+1)	50	250					Arctic Blast														1	8	5	1	1	1																	150	damage absorbed	150	additional absorbed/level											20	absorb synergy	1								8																																				128	1000
Heart of Wolverine	236	dru	heart of wolverine		119																																											poisonresist	100	maxpoisonresist	100									heartofwolverine	totem	1	NU	Wolverine Aura	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																				(skill('Heart of Wolverine'.blvl) < 100) ? (skill('Heart of Wolverine'.blvl)/50+1) : ((skill('Heart of Wolverine'.blvl)-50)/25+1)	80	250					Oak Sage			1											1	8	20	1	1	1									(lvl-1)*par1	hp adj	40 + lvl * 16 / 20	totem lvl					25	bonus hitpoints per level	3	Bonus Level	25	% attack rating bonus	7	% attack rating bonus per lvl	20	% damage increase	5	% damage increase per level	30	radius	2	radius/lvl	1								8																																				160	2000
Summon Fenris	237	dru	summon fenris		119																					fireresist	"min(ln78,85)"	coldresist	"min(ln78,85)"	lightresist	"min(ln78,85)"	poisonresist	"min(ln78,85)"	magicresist	"min(ln78,85)"													item_armor_percent	(par4 * lvl) + skill('Summon Spirit Wolf'.ln56)	tohit	skill('Summon Spirit Wolf'.ln12)	damagepercent	skill('Summon Grizzly'.ln12)							fenris	fenris	"min(par3, (lvl < 8) ? ((lvl + 1) / 2) : (4+lvl/10))"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4												1								(skill('Summon Fenris'.blvl) < 100) ? (skill('Summon Fenris'.blvl)/50+1) : ((skill('Summon Fenris'.blvl)-50)/25+1)	80	250					Oak Sage	Summon Spirit Wolf		1											1	8	60	4	1	1									ln12	hp%	40 + lvl * 16 / 20	pet lvl					20	% feral hitpoints	2	% feral hitpoints per level	15	max fenri	5	defense bomus per level	50	% damage with rage - see fenris rage	250	rage duration - see fenris rage	5	resist	2	resist/lvl	1	2000	100						8		25	16	32	48	64	80	50	16	32	48	64	80		cold	10	10	20	30	40	50	20	10	20	30	40	50		100	15	30	45				160	2000
Rabies	238	dru	rabies	57	121												rabiesplague						rabies																																																																																						1	0		h2h												S3	S3	S3				1		1	1								1										(skill('Rabies'.blvl) < 100) ? (skill('Rabies'.blvl)/50+1) : ((skill('Rabies'.blvl)-50)/25+1)	70	250					Feral Rage			2	wolf				1						1	8	10	0	1																																50	damage synergy	1	50	7		1	2			4															pois	24	12	24	36	48	60	24	12	24	36	48	60	skill('Plague Poppy'.blvl) * par8 / 250	100							160	2000
Fire Claws	239	dru	fire claws	58	2															fire_hit																																																																																									1	0		h2h												A1	A1	xx				1		1	1								1										(skill('Fire Claws'.blvl) < 100) ? (skill('Fire Claws'.blvl)/50+1) : ((skill('Fire Claws'.blvl)-50)/25+1)	75	250					Feral Rage	Maul		2	wolf	bear			1						1	8	4	0	1										0	dmg%																					35	damage synergy	1	50	15						8	128														fire	30	30	60	90	120	150	60	30	60	90	120	150	(skill('Firestorm'.blvl) + skill('Molten Boulder'.blvl) + skill('Volcano'.blvl) + skill('Eruption'.blvl)) * par8 / 250								160	2000
Twister	240	dru	twister		118												twister																																																												druid_windcast															68					twister												1	0		none												SC	SC	xx				1													1								(skill('Twister'.blvl) < 100) ? (skill('Twister'.blvl)/50+1) : ((skill('Twister'.blvl)-50)/25+1)	70	250					Cyclone Armor								1						1	7	14	1	1										par1	# missiles							5	Number of twisters	10	Frames the target is stunned											50	damage synergy	1								8		10	10	20	30	40	50	20	10	20	30	40	50	(skill('Tornado'.blvl) + skill('Hurricane'.blvl)) * par8 / 250 + stat(0.accr) / 4																						160	2000
Vines	241	dru	vines		115																	vine_beast																																						vinecreature	vine	1	S1	Vine Attack	lvl	VineCycler	lvl										druid_summon																																1	0		none												SC	SC	xx				1	4																				(skill('Vines'.blvl) < 100) ? (skill('Vines'.blvl)/50+1) : ((skill('Vines'.blvl)-50)/25+1)	100	250					Cycle of Life			1											1	8	14	1	1	1									par3 * (lvl-1)	hp %	50 + lvl * 15 / 20	vine lvl					3	Number of vines	1	vines per level	20	% more hitpoints per level	0	Mana steal moved -->	3	min % mana steal	12	max % mana steal					1								8																																				192	4000
Hunger	242	dru	hunger		122																																																																																																								1	0		h2h												S3	S3	S3				1		1	1								1										(skill('Hunger'.blvl) < 100) ? (skill('Hunger'.blvl)/50+1) : ((skill('Hunger'.blvl)-50)/25+1)	90	250					Fire Claws			2	wolf	bear			1						1	8	3	0	1										par5	dmg%	"min(300, ln12)"	lifesteal	"min(150, ln34)"	manasteal			50	life steal	5	life steal per level	50	mana steal	2	mana steal per level	-75	% damage penalty							1	50	10						8	128																																			192	4000
